목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15102785,교육부,교육부,교육부_학교안전교육 전문강사 인력풀 현황,학교안전교육 전문강사 인력풀에 대한 데이터입니다. 시도별로 각 안전교육에 해당하는 전문강사 인원 수가 작성되어있습니다.,1109,교육 - 유아및초·중등교육,"안전교육,전문강사,현황"
15102788,교육부,교육부,교육부_학생안전체험시설 현황,"시도별 학생안전체험시설의 건립 및 운영 현황에 대하여 작성한 데이터로, 각 시도별로 운영 중인 학생안전체험시설 수와 건립 중인 학생안전체험시설 수를 알 수 있습니다.",1001,교육 - 유아및초·중등교육,"학생안전,안전체험,시설현황"
15113365,교육부,교육부,교육부_교육관련 데이터(EDSS) 제공목록,"<데이터 제공목록><br/>교육통계, 학교정보공시, 특수교육, 학업성취도, 수능, 나이스, 고등교육, 대학정보공시, 취업/평생통계<br/><br/><수집년도><br/>교육통계 : 2009년~<br/>학교정보공시 : 2009년~<br/>특수교육통계 : 2016년~<br/>나이스 : 2011년~<br/>국가수준학업성취도, 대학수학능력시험 : 2009년~<br/>고등교육통계 : 2009년~<br/>대학정보공시 : 2009년~<br/>취업/평생교육 : 2011년~<br/><br/>-공개용데이터 / 심사용데이터로 구분하여 제공<br/>-공개용데이터: 로그인 없이 다운로드<br/>-심사용데이터 : 로그인 및 연구계획서 작성 및 심의 후 제공<br/><br/>※ EDSS 제공신청 참고사항<br/>1. 제공되는 자료에서 학교 및 학생 식별정보는 EDSS에서 관리하는 ""층화ID""로 변경되어 제공. 단, 제공되는 데이터들은 시계열 분석이 가능하도록 제공.<br/>2. EDSS에서 제공되는 자료는 전체 학교 데이터가 아닌, 소규모 학교 등의 일부 대상을 제외한 데이터를 제공.",991,교육 - 유아및초·중등교육,"초중등교육,고등교육,교육통계"
15037482,교육부,교육부,교육부_정보공시 초중등학교 기본정보,"정보공시 초중등학교 기본정보(학교명,설립구분, 주소, 우편번호, 홈페이지 주소 등)와 관련해 학교급별 데이터를 확인할 수 있습니다.",4714,교육 - 유아및초·중등교육,"초중등,기본정보,정보공시"
15037485,교육부,교육부,교육부_통합제공 유치원 현황,"「유아교육법」에 따라 설립한 국/공/사립 유치원의 현황과 관련해 기본현황(학급수, 원아수 등)과 직위/자격별 교직원 현황에 대한 데이터를 확인할 수 있습니다.(""자료실""의 ""공시자료 다운로드"" 페이지에 접속하여 데이터 제공을 희망하는 ""시/도"",""공시차수"",""공시항목""을 선택하여 다운로드 가능)",8101,교육 - 유아및초·중등교육,"유치원,학급수,원아수"
15037478,교육부,교육부,교육부_초중등학교 입학생 현황,"정보공시 초중등학교 입학생 및 졸업생 현황과 관련해 초등학교, 중학교, 고등학교, 특수학교를 대상으로 최초 입학일의 입학생 현황 데이터를 확인할 수 있습니다.('공개용데이터'의 '학사/학생'에서 확인 가능)",4451,교육 - 유아및초·중등교육,"초중등학교,입학생,졸업생"
15037479,교육부,교육부,교육부_통합제공 정보공시 초중등학교 학교 도서관 현황,"정보공시 초중등학교 학교 도서관 현황. 학교 도서관 현황(자료 보유), 학교 도서관 현황(이용  현황), 학교 도서관 현황(운영 현황) 관련 데이터를 포함하고 있습니다.(""공개용데이터""의 ""보건/복지"" 항목에서 확인 가능)",3523,교육 - 유아및초·중등교육,"정보공시,초중등학교,학교도서관"
15037481,교육부,교육부,교육부_통합제공 정보공시 초중등학교 학생 체력 증진 현황,정보공시 초중등학교 학생 체력 증진 현황과 관련하여 전체 학교를 대상으로 학생들의 학생건강체력평가 결과를 확인할 수 있습니다. ('공개용데이터'→ '보건/복지'탭에서 확인가능),5086,교육 - 유아및초·중등교육,"정보공시,초중등학교,학생 체력"
15037483,교육부,교육부,교육부_통합제공 정보공시 초중등학교 현황(학생수_학급수),"정보공시 초중등학교 현황(학생수, 학급수)과 관련하여 학교별 학급수, 일반학급, 특수학급, 순회학급, 학생수 등 상세한 학생수 데이터를 확인할 수 있습니다.(""공개용데이터""→ ""학사/학생""탭에서 확인가능)",10932,교육 - 유아및초·중등교육,"정보공시,초중등학교,학생수"
15037480,교육부,교육부,교육부_정보공시 초중등학교 방과후 학교 운영 계획 및 운영 지원 현황,"정보공시 초중등학교 방과후 학교 운영 계획 및 운영 지원 현황에 대한 데이터로 방과후학교 운영방침, 운영 절자 및 일정 등을 포함한 내용 확인이 가능합니다.('공개용데이터'의 '보건/복지'에서 확인 가능)",3288,교육 - 유아및초·중등교육,"정보공시,초중등학교,방과후 학교"
15039471,교육부,교육부,교육부_통합제공 정보공시 초중등학교 교복구매 현황,정보공시 초중등학교 교복구매 현황과 관련하여 각급 학교별 교복 구매 유형 및 단가를 포함하는 데이터를 확인할 수 있습니다.('공개용데이터' 의 '재정/시설/설비' 탭에서 확인 가능),2913,교육 - 유아및초·중등교육,"정보공시,초중등,교복"
15100897,교육부,교육부,교육부_질의회신사례집,"질의 · 회신사례는 국민 여러분께서 제기하신 교육부 소관민원에 대해 해당부서에서 답변한 내용을 정형화 한 것입니다.<br/>유아?특수교육, 초?중등교육, 교육안전정보, 고등교육, 평생교육, 기타, 민원처리 관련 법령 내용을 담고 있습니다.",1977,교육 - 유아및초·중등교육,"질의응답,민원,회신"
15110990,교육부,교육부,교육부_코로나19 대응 추진 현황,코로나19 대응 추진 현황<br/>-유초중등 코로나19 발생 보고 현황(일별)<br/>-등교수업일 조정현황<br/>-학생 미등교 사유 및 진단검사 현황 등 일별 보도자료 취합<br/>,398,교육 - 유아및초·중등교육,"코로나19,대응,보도자료"
15052731,교육부,교육부,교육부_교육통계연보,"교육통계연보는 교육통계사업 산출물 중 가장 대표적인 성격을 띤 통계자료집으로서, 학교, 교원, 학생등에 대한 교육통계정보를 담고 있습니다. 이러한 통계정보는 우리 교육 현황을 종합적으로 이해하고, 교육정책 수립과 학술연구 활동 등 교육발전을 위한 기초자료로 널리 활용되고 있습니다.",12817,교육 - 유아및초·중등교육,"교육통계,교원,학교정보"
15048979,교육부,교육부,교육부_초중등학교 정보공시 급식비 현황,"전국 시도교육청 소속 초중등학교들의 급식비 현황을 확인할 수 있습니다. 정보공시 학교코드, 학교명, 학교급코드, 학생 1인당 급식비(1식 기준) 등을 포함하고 있습니다. 보건/복지 항목 중 급식비 집행  실적에서 상세 내용 확인이 가능합니다. 매년 5월에 자동갱신되어 최신 정보를 제공하고 있습니다.",3710,교육 - 유아및초·중등교육,"정보공시,초중등학교,급식비"
15052732,교육부,교육부,교육부_유초중등교육기관 학생 및 교원수 현황,"유초중등교육기관 학생 및 교원수 현황 자료로 시도, 학교급, 학교수, 학생수 등 유초중등교육기관 학생 및 교원수 현황을 파악",10067,교육 - 유아및초·중등교육,"시도별,교육기관학생,교육기관교원수"
15102963,교육부,교육부,교육부_전국 외국인학교 목록,"초중등교육법 제 60조의 2 , 외국인학교 및 외국인유치원의 설립 운영에 관한 규정에 따른 전국 외국인학교 현황을 제공합니다.",1413,교육 - 유아및초·중등교육,"외국인학교,국제학교,각종학교"
15100779,교육부,교육부,교육부_유초중등 학교별 학년별 학생수 학급수 입학 졸업 교원 직원 면적,"2021년 유초중등 지역별, 학교별, 학년별, 학생수, 학급수, 입학 졸업 교원 직원, 면적 등 학교/학과별 데이터셋을 제공합니다.<br/>https://kess.kedi.re.kr/index -> 우측 중간 자주찾는 자료의 학과별, 학교별 데이터셋 클릭 -> 유, 초등, 중등 학교별 - 상반기 2021년도 클릭하여 다운로드 -> 엑셀 자료중 학교별 교지면적 확인가능<br/>",2027,교육 - 유아및초·중등교육,"학교면적,학교부지,교지면적"
15048978,교육부,교육부,교육부_초중등학교 정보공시 급식 실시 현황,"전국 시도교육청 대상 학교급별 급식 실시 현황 데이터를 제공하고 있습니다. 학교코드, 학교명, 급식 운영방식 등 내용을 확인할 수 있습니다.",3650,교육 - 유아및초·중등교육,"학교알리미,초중등학교,급식"
3058881,교육부,교육부,교육부_누리과정지원예산,"누리과정 유아학비지원 관련 자료.<br/>지방교육재정알리미 (https://eduinfo.go.kr/portal/main.do) 사이트 접속 -> [지방교육재정] 메뉴 선택 -> [예산공시] 선택 -> 년도 선택 -> <누리과정> 입력 후 검색 -> 검색된 트리메뉴에서 <누리과정지원> TEXT 선택 -> 시,도교육청별 선택, SHEET선택 , 년도 선택 -> 검색 -> 다운로드 버튼 클릭 -> 원하는 확장자 선택 후 다운로드 버튼 클릭.",2291,교육 - 유아및초·중등교육,"누리과정 교부금,지방교육재정,유치원어린이집"
3058878,교육부,교육부,교육부_학생건강체력평가제,"초중고등학생의 학생 건강 체력 평가 정보.<br/>https://www.schoolinfo.go.kr/ng/go/pnnggo_a01_l2.do<br/>[학교알리미] 사이트 접속 -> [보건복지] 탭 선택 -> [학생의 체력 증진에 관한 사항] 라벨 선택 -> 공시년도, 학교급 선택 후 다운로드 가능. 확장자는 엑셀, CSV, json 가능.<br/>2019년도 이후 데이터 다운로드 가능.",6297,교육 - 유아및초·중등교육,"학생체력,학생건강체력평가,체력장"
15050339,교육부,교육부,교육부_미디어 리터러시 교육 자료(영문),코로나19 관련 미디어 리터러시 교육을 위한 웹포스터 및 카드뉴스(가정에서의 미디어 리터러시 활동)_영문<br/>(이미지자료),2439,교육 - 유아및초·중등교육,"코로나,미디어 교육,리터러시"
15050340,교육부,교육부,교육부_미디어 리터러시 교육 자료,코로나19 관련 미디어 리터러시 교육을 위한 웹포스터 및 카드뉴스(가정에서의 미디어 리터러시 활동)<br/>(이미지파일),5797,교육 - 유아및초·중등교육,"covid,미디어 교육,정보"
15036719,교육부,교육부,교육부_유치원 공시자료 다운로드,"전국 국/공/사립 유치원의 기본현황, 교직원 현황 등의 공시정보를 파일로 다운로드 할 수 있도록 제공합니다. <br/>Excel, CSV확장자로 다운로드 가능합니다.",3791,교육 - 유아및초·중등교육,"유치원,정보공시,유치원알리미"
15052735,교육부,교육부,교육부_대학 학과계열별 입학정원,"대학 학과계열별 입학정원 통계를 년도별로 제공하고 있으며 대학 과정 학제 기준입니다. ※- 해당 학제 : 일반대학, 교육대학, 방송통신대학, 산업대학, 기술대학, 각종학교(대학과정), 사이버대학(대학과정), 원격대학형태의 평생교육시설(대학과정), 사내대학형태의 평생교육시설(대학과정)",16019,교육 - 유아및초·중등교육,"교육통계,대학,학과"
