목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15106618,교육청,경상북도교육청 경상북도교육청상주도서관,경상북도교육청 경상북도교육청상주도서관_상반기 평생교육강좌,경상북도교육청 상주도서관에서 제공하는 상반기 평생강좌정보로 누리집을 통해 공지 및 안내 드리며 누리집을 통해 신청하실 수 있습니다.,418,교육 - 평생·직업교육,"평생교육,상반기,평생강의"
15106622,교육청,경상북도교육청 경상북도교육청상주도서관,경상북도교육청 경상북도교육청상주도서관_평생교육강좌 정보_여름방학특강,경상북도교육청 상주도서관에서 제공하는  평생강좌정보(여름방학특강)로 누리집을 통해 공지 및 안내 드리며 누리집을 통해 신청하실 수 있습니다.,272,교육 - 평생·직업교육,"어린이,특강,여름방학"
15005017,교육청,경상북도교육청 경상북도교육청상주도서관,경상북도교육청 경상북도교육청상주도서관_평생교육강좌 정보,"경상북도교육청 상주도서관에서 제공하는 평생교육강좌(겨울방학특강, 여름방학특강, 상반기 평생교육강좌, 하반기 평생교육강좌) 정보입니다.",2608,교육 - 평생·직업교육,"평생학습,강좌,강의"
3069681,교육청,경상북도교육청 경상북도교육청안동도서관,경상북도교육청 경상북도립안동도서관_희망도서구입목록 DB,월 2회 이용자에게 신청도서를 받아 제공하는 서비스,1915,교육 - 평생·직업교육,희망도서신청@도서신청@도립안동도서관
3069682,교육청,경상북도교육청 경상북도교육청안동도서관,경상북도교육청 경상북도립안동도서관_정기간행물 구독목록,"일간, 주간, 월간등 정기간행물 구독목록 제공",2096,교육 - 평생·직업교육,도립안동도서관@정기간행물(잡지)@정기간행물(신문)
3069680,교육청,경상북도교육청 경상북도교육청안동도서관,경상북도교육청 경상북도립안동도서관_추천도서목록 DB,"일반, 아동자료 별로 매달 추천도서 선별후 공지",2012,교육 - 평생·직업교육,추천도서@도립안동도서관@도서정보
15052860,교육청,경상북도교육청 경상북도교육청정보센터,경상북도교육청정보센터_신착자료,"경상북도교육청정보센터의 신착자료 정보(도서명, 저자명, 발행 년도, 이용가능여부 등 서지 사항)를  제공합니다.<br/>",2235,교육 - 평생·직업교육,"신착,도서,목록"
15074251,교육청,경상북도교육청 경상북도구미교육지원청,경상북도교육청 경상북도구미교육지원청_학원 교습소 현황,구미교육지원청 학원 교습소 현황,2309,교육 - 평생·직업교육,"학원교습소 현황,학원 ,교습소"
15053240,교육청,경상북도교육청 경상북도문경교육지원청,경상북도교육청 경상북도문경교육지원청_문경교육지원청 학원현황,"경상북도 문경지역 내 학원에 대하여 학원명, 학원종류, 분야구분, 학원주소, 전화번호 등의 학원현황에 관련된 항목을 제공합니다.",3024,교육 - 평생·직업교육,"학원,입시.검정 및 보습,예능"
15053241,교육청,경상북도교육청 경상북도문경교육지원청,경상북도교육청 경상북도문경교육지원청_문경교육지원청 교습소현황,"경상북도 문경지역 내 교습소에 대하여 교습소명, 전화번화, 교습소주소, 분야구분, 교습과정의 항목을 제공합니다.",3036,교육 - 평생·직업교육,"교습소,입시.검정 및 보습,예능"
15053523,교육청,경상북도교육청 경상북도상주교육지원청,경상북도교육청 경상북도상주교육지원청_학원현황,"경상북도상주교육지원청 관할 학원 및 교습소 현황 정보를 제공하는 서비스로서 학원명, 설립자, 전화번호, 주소를 제공",2424,교육 - 평생·직업교육,"학원,교습소,학원교습소"
15053524,교육청,경상북도교육청 경상북도상주교육지원청,경상북도교육청 경상북도상주교육지원청_교습소현황,"경상북도상주교육지원청 관할 학원 및 교습소 현황 정보를 제공하는 서비스로서 학원명, 설립자, 전화번호, 학원주소를 제공",2315,교육 - 평생·직업교육,"학원,교습소,학원교습소"
15060966,교육청,경상북도교육청 경상북도울릉교육지원청,경상북도교육청 경상북도울릉교육지원청_경상북도교육청울릉도서관_20200623,경상북도교육청울릉도서관 운영 현황,1836,교육 - 평생·직업교육,"운영시간,주소,홈페이지"
3069196,교육청,경상북도교육청 경상북도청도교육지원청,경상북도교육청_경상북도청도교육지원청_학원 및 교습소 현황,"경상북도 청도군에 있는 학원 및 교습소와 관련된 자료들(학원 및 교습소 위치, 수업과목, 연락처)을 제공합니다.<br/>경상북도 청도군에 있는 학원 및 교습소와 관련된 자료들(학원 및 교습소 위치, 수업과목, 연락처)을 제공합니다.",2627,교육 - 평생·직업교육,"학원,교습소,청도"
15113439,교육청,광주광역시교육청,광주광역시교육청_평생교육기관,"광주광역시 관내 평생교육기관 현황으로 연번, 구분, 기관명, 기관주소, 대표자, 대표전화 항목으로 나열되었습니다.",274,교육 - 평생·직업교육,"평생교육,평생,교육"
15113974,교육청,광주광역시교육청,광주광역시교육청_광주학생교육문화회관_희망도서 구입 목록,"광주광역시교육청 광주학생교육문화회관 희망도서 및 수시도서 구입 목록(2023.10월)_서명,저자,비치자료실 항목을 제공합니다",228,교육 - 평생·직업교육,"희망도서,수시도서,도서목록"
15035707,교육청,광주광역시교육청,광주광역시교육청_학원 교습소 정보,"광주광역시 학원, 교습소 및 독서실 정보에 대한 데이터로 업체명, 교습정보, 교습비 세부내용 등의 항목을 제공합니다.",3287,교육 - 평생·직업교육,"교육,독서실,공부방"
15048864,교육청,대구광역시교육청 대구2.28기념학생도서관,대구광역시교육청 대구2.28기념학생도서관_신착도서 목록,"대구2·28기념학생도서관에서 소장하고 있는 신착자료(도서,DVD) 청구기호, 서명, 저자명, 자료실명 등 정보 제공",2708,교육 - 평생·직업교육,"도서목록,신착자료,자료검색"
15074913,교육청,대구광역시교육청 대구2.28기념학생도서관,대구광역시교육청 대구2.28기념학생도서관_인기도서 목록,"<br/> 대구2·28기념학생도서관에서 소장하고 있는 도서 중 인기있는 대출 베스트도서의 청구기호, 저자, 출판사 등의 도서 정보 제공",2387,교육 - 평생·직업교육,"인기도서,베스트대출,도서목록"
15074536,교육청,대구광역시교육청 대구광역시립남부도서관,대구광역시교육청 대구광역시립남부도서관_신착도서목록,"대구광역시립남부도서관이 새로 소장한 신착도서에 대한 정보로 서명, 저자명, 출판사명, 출판년도와 소장하고 있는 자료실 정보 등을 제공합니다.",2092,교육 - 평생·직업교육,"자료검색,소장,신착자료"
15074477,교육청,대구광역시교육청 대구광역시립남부도서관,대구광역시교육청 대구광역시립남부도서관_인기도서목록,"대구광역시립남부도서관이 소장한 도서 중 이용자에게 인기있는 도서에 대한 정보(서명, 저자명, 발행자명, 소장처 등)을  제공합니다.",2535,교육 - 평생·직업교육,"자료검색,소장도서,인기도서"
15073975,교육청,대구광역시교육청 대구광역시립달성도서관,대구광역시교육청 대구광역시립달성도서관_신착도서목록,"대구광역시립달성도서관  2023년 4분기의 신착도서목록이다. 청구기호, 서명, 저자, 발행자 등의 정보가 담겨져 있다.",2410,교육 - 평생·직업교육,"도서관 도서목록,신착도서,소장도서"
3050586,교육청,대구광역시교육청 대구광역시립달성도서관,대구광역시교육청 대구광역시립달성도서관_인기도서목록,"대구광역시립달성도서관 2023년  4분기 인기도서에 대한 데이터로 순위, 청구기호, 서명, 저자, 발행자, 대출횟수 등의 항목을 제공합니다.",3509,교육 - 평생·직업교육,"도서목록,인기도서,자료검색"
15061735,교육청,대구광역시교육청 대구광역시립두류도서관,대구광역시교육청 대구광역시립두류도서관_신착도서 목록,합리적이고 체계적인 장서구성 및 지역주민의 독서생활화를 위하여<br/>두류도서관에서 확충한 기간별 신착도서 현황 입니다.,2461,교육 - 평생·직업교육,"도서,도서관,신착 도서"
3050580,교육청,대구광역시교육청 대구광역시립두류도서관,대구광역시교육청 대구광역시립두류도서관_인기도서 목록,"대구광역시립두류도서관(종합자료실, 어린이실)에서 특정기간 동안  최다 대출 횟수 순으로 작성된 인기도서의 목록입니다.",4056,교육 - 평생·직업교육,"대출,인기 도서,책"
3049536,교육청,대구광역시교육청 대구광역시립북부도서관,대구광역시교육청 대구광역시립북부도서관_신착도서 목록,"북부도서관 소장 도서 목록 DB를 제공합니다<br/>- 분기별 신착도서목록(등록번호, 청구기호, 서명, 저작자, 발행자, 발행년, 가격, 자료실명 등)",3751,교육 - 평생·직업교육,"신간도서,신착도서,구입도서"
15061588,교육청,대구광역시교육청 대구광역시립북부도서관,대구광역시교육청 대구광역시립북부도서관_인기도서 목록,"북부도서관 인기 도서 목록 DB를 제공합니다<br/>- 분기별 인기도서목록(등록번호, 서명, 저자, 발행처, 청구기호, 대출횟수)<br/><br/><br/>",2634,교육 - 평생·직업교육,"순위,인기도서,구입도서"
15074281,교육청,대구광역시교육청 대구광역시립서부도서관,대구광역시교육청 대구광역시립서부도서관_인기도서목록,대구광역시교육청 대구광역시립서부도서관 2023년 4분기 인기도서목록을 공공데이터개방목록에 개방하고자 합니다.,2627,교육 - 평생·직업교육,"도서검색,자료검색,인기도서"
3049525,교육청,대구광역시교육청 대구광역시립서부도서관,대구광역시교육청 대구광역시립서부도서관_신착도서목록,대구광역시교육청 대구광역시립서부도서관 2023년 4분기 신착도서목록을 공공데이터개방목록에 개방하고자 합니다.,3234,교육 - 평생·직업교육,"도서검색,자료검색,신착도서"
15074294,교육청,대구광역시교육청 대구광역시립수성도서관,대구광역시교육청 대구광역시립수성도서관_인기도서목록,"대구광역시립수성도서관  대출인기도서의 정보로 서명, 저자, 발행자, 등록번호, 청구기호에 대한 정보를 제공합니다.",1967,교육 - 평생·직업교육,"베스트대출,인기도서,대출순위"
