목록키,기관구분,기관명,목록유형,목록명,목록설명,조회수,분류체계,기관코드,국가중점여부,표준데이터여부,목록 등록일,목록 수정일,목록 URL,다운로드_활용건수,키워드
15112904,교육부,교육부,FILE,교육부_교육활동 침해 및 교원치유지원센터 지원 현황,"한국교육개발원 교원치유지원센터 자료제공<br/><br/>2018년~2022년 1학기 교육활동 침해 현황<br/>2020년~2022년 1학기 교원치유지원센터 지원 현황(이용건수, 유형별 이용내역-상담/심리치료, 법률지원/예방프로그램/기타)<br/>",863,교육 - 교육일반,1342000,N,N,2023-03-22,2023-08-30,https://www.data.go.kr/data/15112904/fileData.do,471,"교육활동침해,교원치유지원센터지원,법률지원"
15121146,교육부,교육부,FILE,교육부_교육통계서비스_행정구역별 학년별 학급수 및 학생수,"한국교육개발원 교육통계서비스(kess.kedi.re.kr)에서 제공합니다.  행정구역별 학년별 학급수 및 학생수를 제공(1999-2022)하며, 엑셀, 워드, pdf파일로 제공받을 수 있습니다. <br/>학급수는 인가학급 기준임(2020년까지), 학년별 학급수 및 학생수는 초,중,고만 제공함",629,교육 - 유아및초·중등교육,1342000,N,N,2023-08-29,2023-08-29,https://www.data.go.kr/data/15121146/fileData.do,207,"행정구역,유초중등,통계"
15120397,교육부,교육부,FILE,교육부_조직연혁정보_기관변천,"교육부의 조직연혁 정보 기관변천파일을 제공(1940년대~현재까지)<br/>문교부, 교육부, 교육인적자원부, 교육과학기술부, 통폐합, 기능이관, 유지",119,교육 - 교육일반,1342000,N,N,2023-08-25,2023-08-25,https://www.data.go.kr/data/15120397/fileData.do,10,"조직연혁,기관,변천"
15119001,교육부,교육부,FILE,교육부_하이파이브_직업영어교재,"마이스터고 : 공식명칭은 “산업수요 맞춤형 고등학교”. 유망분야의 특화된 산업수요와 연계하여 예비 마이스터를 양성하는 특수목적고로 분류됨 <br/>특성화고 : 소질과 적성 및 능력이 유사한 학생을 대상으로 특정분야의 인재양성을 목적으로 하는 교육 또는 현장실습 등 체험위주의 교육을 전문적으로 실시하는 학교<br/><br/><br/>원예조경 영어, 유통물류 영어, 전자 영어, 기계 영어, 건축 영어,  전기 영어,  조리 서비스 영어, 해양생산 영어, 금융 영어, 건축 영어  e-book 제공",148,교육 - 유아및초·중등교육,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119001/fileData.do,20,"원예조경,전자영어,건축영어"
15119004,교육부,교육부,FILE,교육부_하이파이브_직업계고 학점제 정보,"마이스터고 : 공식명칭은 “산업수요 맞춤형 고등학교”. 유망분야의 특화된 산업수요와 연계하여 예비 마이스터를 양성하는 특수목적고로 분류됨 <br/>특성화고 : 소질과 적성 및 능력이 유사한 학생을 대상으로 특정분야의 인재양성을 목적으로 하는 교육 또는 현장실습 등 체험위주의 교육을 전문적으로 실시하는 학교<br/><br/>직업계고 학점제 학교 공간 조성 운영안내서, 직업계고 학점제 안내서, 고등학교 학생평가 안내서 등 정보 제공",376,교육 - 유아및초·중등교육,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119004/fileData.do,42,"운영안내서,우수사례,리플릿"
15119007,교육부,교육부,FILE,교육부_하이파이브_안전한 현장실습 자료,"마이스터고 : 공식명칭은 “산업수요 맞춤형 고등학교”. 유망분야의 특화된 산업수요와 연계하여 예비 마이스터를 양성하는 특수목적고로 분류됨 <br/>특성화고 : 소질과 적성 및 능력이 유사한 학생을 대상으로 특정분야의 인재양성을 목적으로 하는 교육 또는 현장실습 등 체험위주의 교육을 전문적으로 실시하는 학교<br/><br/>직업계고 현장실습시 학교, 기업, 학생을 대상으로 매뉴얼 및 강의 자료 제공",494,교육 - 유아및초·중등교육,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119007/fileData.do,107,"직업계고,산업안전,매뉴얼"
15119011,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_실용국어1,"직업기초능력 중 의사소통(국어) 능력 함양을 위한 교수학습 자료<br/>총 10개 주제(성찰, 관심과 흥미, 직업, 배려, 가족의 의미, 가족의 조건, SNS와 의사소통, 예절, 윤리의식, 환경) 30차시 분량<br/>",156,교육 - 유아및초·중등교육,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119011/fileData.do,7,"의사소통,교수학습,직업기초능력"
15119014,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_실용국어2,"목적 : 직업기초능력 중 의사소통(국어) 능력 함양을 위한 교수학습 자료<br/>프로그램 구성 : 나, 공동체, 직업세계의 3가지 범주의 6개 주제(자기표현, 자아성찰, 개인적 인간관계, 사회적 책임감, 직장에서의 의사소통과 갈등 해결, 직장에서의 문서 처리)<br/>6개 단원(17차시)",72,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119014/fileData.do,2,"기초능력,의사소통,교수학습"
15119015,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_실용국어3,"목적 : 직업기초능력 중 ‘의사소통 국어’ 능력 함양을 위한 교수학습 자료<br/>프로그램 구성 : 나’, ‘공동체’, ‘직업 세계’라는 3가지 범주의 4개 주제(자기표현, 사회적 책임감, 직장에서의 갈등 해결, 직장에서의 문서 처리)<br/>4개 단원(12차시)<br/>",76,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119015/fileData.do,2,"의사소통,교수학습,문서처리"
15119017,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_국어보정학습,"국어학습(기본)<br/>대화하기 : 상황에 맞게 인사 주고받기, 높임법 바르게 사용하여 말하기, 상대방에게 적절히 반응하면서 듣고 말하기<br/>발표하기 : 상대방에게 적절히 반응하면서 듣고 말하기, 매체를 활용하여 발표하기, 알맞은 목소리와 속도, 자신 있는 태도로 말하기<br/>문장 쓰기 : 문장 성분과 접속어 바르게 사용하기, 빠진 문장 성분 찾기와 문장 부호 바르게 사용하기, 맞춤법에 맞게 문장 쓰기 등 <br/><br/>보정학습 자료 제공",77,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119017/fileData.do,5,"듣기말하기,읽기,쓰기"
15119019,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_기본수학1,"목적 : 직업기초능력 중 수리활용 능력 함양 및 수학 교과 기초를 다지는 교수학습 자료?<br/>구성 : 기본 수학의 성취기준을 차시 단위의 학습 내용으로 세분하여 3개의 핵심개념(경우의 수, 다항식, 방정식과 부등식)? 39차시 분량?<br/><br/>1. 경우의수, 2. 순열과 조합, 3.다항식의 연산, 4. 인수분해, 5.이차방정식, 6.이차함수, 7.부등식",111,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119019/fileData.do,6,"경우의수,순열과조합,이차방정식"
15119020,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_기본수학2,"목적 : 직업기초능력 중 수리활용 능력 함양 및 수학 교과 기초를 다지는 교수학습 자료<br/>구성 : 기본 수학의 성취기준을 차시 단위의 학습 내용으로 세분한 2개의 핵심 개념(집합과 함수, 도형의 방정식) 13개 단원(34차시)<br/>",90,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119020/fileData.do,2,"집합과함수,도형의방정식,수리활용"
15119021,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_실용수학,"목적 : 직업기초능력 중 수리활용 능력과 수학적 소양을 함양할 수 있는 교수학습 자료<br/>구성 : 실용 수학의 성취기준을 3개 영역(규칙, 공간, 자료)으로 재구성함 6개 단원(25차시)",140,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119021/fileData.do,19,"규칙,공간,자료"
15119022,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_수학보정학습,"자연수의 사칙 계산, 자연수의 성질, 분수와 소수, 분수의 사칙계산, 소수의 사칙 계산, 정수, 유리수, 순환소수, 제곱근, 무리수, 규칙과 대응, 함수의 뜻, 함수의 뜻, 일차함수, 다항식의 사칙계산 등 보정학습 자료 제공",68,교육 - 유아및초·중등교육,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119022/fileData.do,7,"공간과모양,변화와관계,불확실성"
15119023,교육부,교육부,FILE,교육부_하이점프_직업계고 기초학력향상_기본영어1,"목적 : 직업기초능력 중 의사소통(영어) 능력 함양을 위한 교수학습 자료?<br/>구성 : 프로그램 구성: 총 6개 Unit(At the restaurant, Commercial Activity, Introduce myself, Connected, Jobs around us, Step out to the world) 30차시 분량<br/>",91,교육 - 교육일반,1342000,N,N,2023-08-17,2023-08-23,https://www.data.go.kr/data/15119023/fileData.do,9,"의사소통,영어학습,교수학습"
