목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15117902,유관기관,한국연구재단,한국연구재단_트리메뉴 연계 정보,"한국연구재단이 보유하고 있는 ""외국교육기관 및 외국인학교 종합안내"" 시스템 내의  ""트리메뉴 연계정보 목록"" 테이블 정보입니다.",46,일반공공행정 - 일반행정,"트리,메뉴연계,정보"
15117897,유관기관,한국연구재단,한국연구재단_공지사항게시판,"한국연구재단이 보유하고 있는 ""외국교육기관 및 외국인학교 종합안내"" 시스템 내 ""공지사항 게시판"" 자료입니다.  게시판코드, 게재위치, 글제목, 게재여부, 등록일자 등의 정보가 있습니다",69,일반공공행정 - 일반행정,"공지,공지사항,게시판"
15117900,유관기관,한국연구재단,한국연구재단_외국교육기관 및 외국인학교종합안내  첨부파일 목록,"한국연구재단이 보유하고 있는 '외국교육기관 및 외국인학교 종합안내' 시스템의  '첨부파일 목록' 테이블 정보입니다.  구분코드, 파일순번, 파일명 등의 정보가 있습니다",75,일반공공행정 - 일반행정,"외국교육기관,외국인학교,첨부파일"
15102231,유관기관,한국연구재단,한국연구재단_기술료 배분 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 기술료 배분 현황에 대한 자료입니다.,395,일반공공행정 - 일반행정,"사회,경제경영,기타  경제경영"
15102028,유관기관,한국연구재단,한국연구재단_교원 창업현황,"한국연구재단에서 발간하는 대학산학협력활동실태조사 내 교원 창업현황이며, 2012년~2021년 자료입니다.",603,일반공공행정 - 일반행정,"인문사회 과학,인간과학과 기술, 과학기술과 인문사회"
15102031,유관기관,한국연구재단,한국연구재단_학생 창업기업의 수(매출발생기업),한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 학생 창업기업의 수(매출발생기업)에 대한 자료입니다.,465,일반공공행정 - 일반행정,"인문사회 과학,인간과학과 기술, 과학기술과 인문사회"
15102041,유관기관,한국연구재단,한국연구재단_기술료 수취 유형 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 기술료 수취 유형 현황에 대한 자료입니다.,364,일반공공행정 - 일반행정,"인문사회과학,사회,경제경영"
15102230,유관기관,한국연구재단,한국연구재단_지식재산권 포기 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 지식재산권 포기 현황에 대한 자료입니다.,299,일반공공행정 - 일반행정,"사회,법,지식재산권법"
15102042,유관기관,한국연구재단,한국연구재단_기술이전 대상별 기술료 입금 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 기술이전 대상별 기술료 입금 현황에 대한 자료입니다.,380,일반공공행정 - 일반행정,"인문사회 과학,사회,경제/경영"
15102229,유관기관,한국연구재단,한국연구재단_지식재산권 보유 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 지식재산권 보유 현황에 대한 자료입니다.,281,일반공공행정 - 일반행정,"사회,법,지적재산권법"
15102036,유관기관,한국연구재단,한국연구재단_캡스톤디자인 운영 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 캡스톤디자인 운영 현황에 대한 자료입니다.,748,일반공공행정 - 일반행정,"인문사회 과학,인간과학과 기술, 과학기술과 인문사회"
15102039,유관기관,한국연구재단,한국연구재단_주문식 교육과정 운영 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 주문식 교육과정 운영 현황에 대한 자료입니다.,376,일반공공행정 - 일반행정,"인문사회 과학,사회,교육"
15102035,유관기관,한국연구재단,한국연구재단_고용주체별 인력 현황,이 자료는 한국연구재단에서 발간하는 2021년도 대학산학협력활동실태조사 내 고용주체별 인력 현황에 대한 자료입니다.,481,일반공공행정 - 일반행정,"인문사회 과학,인간과학과 기술, 과학기술과 인문사회"
15102038,유관기관,한국연구재단,한국연구재단_계약학과 운영 현황,이 자료는 한국연구재단에서 발간하는 2020년 대학산학협력활동실태조사 내 계약학과 운영 현황에 대한 자료입니다.,891,일반공공행정 - 일반행정,"인문사회과학,인간과학과기술,과학기술과 인문사회"
15102040,유관기관,한국연구재단,한국연구재단_창업강좌 현황(정규교육과정),이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 창업강좌 현황(정규교육과정)에 대한 자료입니다.,262,일반공공행정 - 일반행정,"인문사회과학,사회,교육"
15102043,유관기관,한국연구재단,한국연구재단_거래유형별 기술료 입금 현황,이 자료는 한국연구재단에서 발간하는 2021년 대학산학협력활동실태조사 내 거래유형별 기술료 입금 현황에 대한 자료입니다.,300,일반공공행정 - 일반행정,"인문사회과학,경제/경영,재정/ 공공경제"
15090301,유관기관,한국직업능력연구원,한국직업능력연구원_민간자격관련설문조사,민간자격정보서비스 홈페이지에서 민간자격제도 및 민간자격정보서비스 이용만족도 등 민간자격과 관련하여 진행된 온라인 설문조사 정보 관련입니다. 매년 민간자격정보서비스 시스템 만족도 조사는 진행되고 있습니다.,1393,일반공공행정 - 일반행정,"민간자격,설문,설문현황"
15081583,대학교,부경대학교,부경대학교_2019년 부경대학교 쓰레기 처리 비용,"부경대학교의 2019년 부경대학교 쓰레기 처리 비용(부경대학교쓰레기, 부경대학교 불용품, 부경대학교폐기물 )을 붙임과 같이 제공합니다.",1771,일반공공행정 - 일반행정,"부경대,쓰레기,처리비용"
